kanji,ka_name,ka_examples,onyomi,kunyomi,nanori,english,jlpt,strokes,usage_freq_2500,grade,radicals
映,ei-utsu(ru),"[ [ ""映画（えいが）"", ""movie"" ], [ ""映画館（えいがかん）"", ""movie theater"" ], [ ""反映する（はんえいする）"", ""reflect"" ], [ ""上映する（じょうえいする）"", ""show a movie"" ], [ ""映る（うつる）"", ""be reflected [v.i.]"" ], [ ""映す（うつす）"", ""project [v.t.]"" ], [ ""映える（はえる）"", ""shine, look pretty"" ], [ ""夕映え（ゆうばえ）"", ""sunset glow"" ] ]",エイ,"うつ.る, うつ.す, は.える, -ば.え","あきら, え, てる","reflect, reflection, projection",3.0,9.0,404.0,6.0,"ノ, 日, 大, 冖"
画,(ei)ga,"[ [ ""映画（えいが）"", ""movie"" ], [ ""漫画（まんが）"", ""comic"" ], [ ""絵画（かいが）"", ""painting"" ], [ ""画面（がめん）"", ""screen"" ], [ ""計画する（けいかくする）"", ""plan"" ], [ ""企画する（きかくする）"", ""plan (e.g. project)"" ], [ ""画数（かくすう）"", ""stroke count"" ], [ ""画期的（かっきてき）"", ""epoch-making"" ] ]","ガ, カク, エ, カイ","えが.く, かく.する, かぎ.る, はかりごと, はか.る",,"brush-stroke, picture",3.0,8.0,199.0,2.0,"一, 田, 凵"
中,chuu-naka,"[ [ ""中国（ちゅうごく）"", ""China"" ], [ ""中年（ちゅうねん）"", ""middle-age"" ], [ ""中学校（ちゅうがっこう）"", ""junior high school"" ], [ ""中華料理（ちゅうかりょうり）"", ""Chinese food"" ], [ ""途中（とちゅう）"", ""on the way"" ], [ ""工事中（こうじちゅう）"", ""under construction"" ], [ ""中（なか）"", ""inside"" ], [ ""中村（なかむら）"", ""Nakamura (surname)"" ], [ ""中川（なかがわ）"", ""Nakagawa (surname)"" ], [ ""田中（たなか）"", ""Tanaka (surname)"" ], [ ""*体中（からだじゅう）"", ""throughout the body"" ], [ ""*今年中 に（ことしじゅうに）"", ""within this year"" ] ]",チュウ,"なか, うち, あた.る","あたる, かなえ","in, inside, middle, mean, center",4.0,4.0,11.0,1.0,"｜, 口"
出,de(ru),"[ [ ""出身（しゅっしん）"", ""birth place, alma mater"" ], [ ""出版社（しゅっぱんしゃ）"", ""publisher"" ], [ ""出席する（しゅっせきする）"", ""attend"" ], [ ""出発する（しゅっぱつする）"", ""depart"" ], [ ""輸出する（ゆしゅつする）"", ""export"" ], [ ""外出する（がいしゅつする）"", ""go out"" ], [ ""出納（すいとう）"", ""receipts and expenditure"" ], [ ""出る（でる）"", ""come out [v.i.]"" ], [ ""出かける（でかける）"", ""go out"" ], [ ""出す（だす）"", ""put out, send [v.t.]"" ], [ ""引き出し（ひきだし）"", ""drawer"" ] ]","シュツ, スイ","で.る, -で, だ.す, -だ.す, い.でる, い.だす","いず, いづ, いで, じ, すっ, すつ, てん","exit, leave, go out, come out, put out, protrude",4.0,5.0,13.0,1.0,"｜, 山, 凵"
電,den(wa),"[ [ ""電話する（でんわする）"", ""make a telephone call"" ], [ ""発電する（はつでんする）"", ""generate power"" ], [ ""電話（でんわ）"", ""telephone"" ], [ ""電話番号（でんわばんごう）"", ""phone number"" ], [ ""電気（でんき）"", ""electricity"" ], [ ""電気屋（でんきや）"", ""electric appliance store"" ], [ ""電車（でんしゃ）"", ""train"" ], [ ""電子レンジ（でんしレンジ）"", ""microwave oven"" ], [ ""終電（しゅうでん）"", ""last train"" ], [ ""停電（ていでん）"", ""loss of electricity, blackout"" ] ]",デン,,,electricity,4.0,13.0,268.0,2.0,"雨, 田, 乙"
会,kai-a(u),"[ [ ""会話（かいわ）"", ""conversation"" ], [ ""会議（かいぎ）"", ""conference"" ], [ ""会社（かいしゃ）"", ""company"" ], [ ""会社員（かいしゃいん）"", ""company employee"" ], [ ""会計士（かいけいし）"", ""accountant"" ], [ ""忘年会（ぼうねんかい）"", ""year-end party"" ], [ ""国会（こっかい）"", ""parliament"" ], [ ""都会（とかい）"", ""city"" ], [ ""再会する（さいかいする）"", ""meet again"" ], [ ""会釈する（えしゃくする）"", ""nod in greeting"" ], [ ""会う（あう）"", ""meet"" ] ]","カイ, エ","あ.う, あ.わせる, あつ.まる","あい, い","meeting, meet, party, association, interview, join",4.0,6.0,4.0,2.0,"二, 个, 厶"
物,butsu-mono,"[ [ ""動物園（どうぶつえん）"", ""zoo"" ], [ ""物価（ぶっか）"", ""cost of living"" ], [ ""物理（ぶつり）"", ""physics"" ], [ ""見物する（けんぶつする）"", ""go sightseeing"" ], [ ""荷物（にもつ）"", ""luggage"" ], [ ""物（もの）"", ""thing"" ], [ ""建物（たてもの）"", ""building"" ], [ ""食べ物（たべもの）"", ""food"" ], [ ""買い物（かいもの）"", ""shopping"" ], [ ""乗り物（のりもの）"", ""vehicle"" ], [ ""着物（きもの）"", ""kimono"" ], [ ""贈り物（おくりもの）"", ""gift"" ] ]","ブツ, モツ","もの, もの-",,"thing, object, matter",3.0,8.0,215.0,3.0,"勿, 牛, 勹, ノ"
返,hen-kae(su),"[ [ ""返事する（へんじする）"", ""reply"" ], [ ""返品する（へんぴんする）"", ""return goods"" ], [ ""返却する（へんきゃくする）"", ""return something"" ], [ ""返送する（へんそうする）"", ""send back"" ], [ ""返答する（へんとうする）"", ""reply"" ], [ ""返す（かえす）"", ""return something"" ], [ ""生き返る（いきかえる）"", ""revive"" ] ]",ヘン,"かえ.す, -かえ.す, かえ.る, -かえ.る",,"return, answer, fade, repay",2.0,7.0,685.0,3.0,"込, 又, 厂"
簡,kan(tan),"[ [ ""簡単な（かんたんな）"", ""simple"" ], [ ""簡単過ぎる（かんたんすぎる）"", ""too simple"" ], [ ""簡素な（かんそな）"", ""plain"" ], [ ""簡略な（かんりゃくな）"", ""simple"" ], [ ""簡潔な（かんけつな）　"", ""brief"" ] ]","カン, ケン","えら.ぶ, ふだ",,"simplicity, brevity",2.0,18.0,983.0,6.0,"竹, 日, 門, 乞"
単,tan(i),"[ [ ""簡単な（かんたんな）"", ""simple"" ], [ ""単純な（たんじゅんな）"", ""simple"" ], [ ""単語（たんご）"", ""word"" ], [ ""単独（たんどく）"", ""solo"" ], [ ""単位（たんい）"", ""unit"" ], [ ""単に（たんに）"", ""merely"" ] ]",タン,ひとえ,,"simple, one, single, merely",2.0,9.0,586.0,4.0,"十, 尚, 田"
直,choku-nao(ru),"[ [ ""直接（ちょくせつ）"", ""direct"" ], [ ""直後（ちょくご）"", ""immediately following"" ], [ ""直前（ちょくぜん）"", ""just before"" ], [ ""直感する（ちょっかんする）"", ""gain intuition"" ], [ ""直結する（ちょっけつする）"", ""connect directly"" ], [ ""直行便（ちょっこうびん）"", ""direct (nonstop) flight"" ], [ ""正直な（しょうじきな）"", ""honest"" ], [ ""直に（じきに/じかに）"", ""directly"" ], [ ""直す（ただす/なおす）"", ""cure, fix [v.t.]"" ], [ ""書き直す（かきなおす）"", ""rewrite"" ], [ ""直る（なおる）"", ""be cured, be fixed [v.i.]"" ] ]","チョク, ジキ, ジカ","ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","すぐ, なお, のう, のお","straightaway, honesty, frankness, fix, repair",2.0,8.0,246.0,2.0,"十, 目, ｜, 一"
習,shuu-nara(u),"[ [ ""練習する（れんしゅうする）"", ""practice"" ], [ ""予習する（よしゅうする）"", ""prepare for a lesson"" ], [ ""復習する（ふくしゅうする）"", ""review a lesson"" ], [ ""学習する（がくしゅうする）"", ""learn"" ], [ ""習慣（しゅうかん）"", ""custom, habit"" ], [ ""風習（ふうしゅう）"", ""custom"" ], [ ""習う（ならう）"", ""learn"" ], [ ""見習い（みならい）"", ""apprentice"" ], [ ""習わし（ならわし）"", ""customary practice"" ] ]","シュウ, ジュ","なら.う, なら.い",,learn,3.0,11.0,706.0,3.0,"羽, 白, 冫"
困,koma(ru),"[ [ ""困惑する（こんわくする）"", ""be bewildered"" ], [ ""困難（こんなん）"", ""difficulty"" ], [ ""貧困（ひんこん）"", ""poverty"" ], [ ""困る（こまる）"", ""have trouble"" ] ]",コン,こま.る,,"quandary, become distressed, annoyed",2.0,7.0,843.0,6.0,"木, 囗"
右,migi,"[ [ ""右折する（うせつする）"", ""turn to the right"" ], [ ""右派（うは）"", ""(political) right wing"" ], [ ""左右する（さゆうする）"", ""influence, control, command"" ], [ ""右（みぎ）"", ""right"" ], [ ""右手（みぎて）"", ""right hand, right side"" ], [ ""右側（みぎがわ）"", ""right side"" ] ]","ウ, ユウ",みぎ,"あき, すけ",right,4.0,5.0,602.0,1.0,"ノ, 一, 口"
持,ji-mo(tsu),"[ [ ""持参する（じさんする）"", ""bring"" ], [ ""支持する（しじする）"", ""support [v.t.]"" ], [ ""維持する（いじする）"", ""maintain"" ], [ ""持つ（もつ）"", ""hold"" ], [ ""持って行く（もっていく）"", ""take"" ], [ ""持って来る（もってくる）"", ""bring"" ], [ ""金持ち（かねもち）"", ""rich person"" ], [ ""気持ち（きもち）"", ""feeling"" ] ]",ジ,"も.つ, -も.ち, も.てる","もち, もつ","hold, have",3.0,9.0,119.0,3.0,"寸, 土, 扎"
調,shira(beru),"[ [ ""調子（ちょうし）"", ""tone, mood, condition"" ], [ ""体調（たいちょう）"", ""physical condition"" ], [ ""好調な（こうちょうな）"", ""favorable"" ], [ ""順調な（じゅんちょうな）"", ""doing well"" ], [ ""調査する（ちょうさする）"", ""investigate"" ], [ ""調節する（ちょうせつする）"", ""adjust"" ], [ ""強調する（きょうちょうする）"", ""emphasize"" ], [ ""協調する（きょうちょうする）"", ""co-operate"" ], [ ""調べる（しらべる）"", ""check [v.t.]"" ], [ ""調える（ととのえる）"", ""put in order [v.t.]"" ], [ ""調う（ととのう）"", ""be prepared [v.i.]"" ] ]",チョウ,"しら.べる, しら.べ, ととの.う, ととの.える","ぎ, つぎ","tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate",2.0,15.0,87.0,3.0,"言, 口, 土, 冂"
引,in-hi(ku),"[ [ ""引力（いんりょく）"", ""gravity"" ], [ ""強引な（ごういんな）"", ""pushy"" ], [ ""引用する（いんようする）"", ""quote"" ], [ ""引退する（いんたいする）"", ""retire"" ], [ ""引く（ひく）"", ""pull"" ], [ ""引き出し（ひきだし）"", ""drawer"" ], [ ""引っ越し（ひっこし）"", ""moving (e.g. residence)"" ] ]",イン,"ひ.く, ひ.ける","いな, ひき, ひけ, びき","pull, tug, jerk, admit, install, quote, refer to",3.0,4.0,218.0,2.0,"｜, 弓"
聞,bun-ki(ku),"[ [ ""新聞（しんぶん）"", ""newspaper"" ], [ ""前代未聞（ぜんだいみもん）"", ""unheard-of"" ], [ ""聞く（きく）"", ""listen, hear, ask a question [v.t.]"" ], [ ""聞こえる（きこえる）"", ""can be heard, hear [v.i.]"" ], [ ""聞き手（ききて）"", ""listener"" ] ]","ブン, モン","き.く, き.こえる",,"hear, ask, listen",4.0,14.0,319.0,2.0,"耳, 門"
野,ya-no,"[ [ ""野球（やきゅう）"", ""baseball"" ], [ ""野菜（やさい）"", ""vegetable"" ], [ ""野党（やとう）"", ""opposition party"" ], [ ""平野（へいや）"", ""plain"" ], [ ""分野（ぶんや）"", ""field"" ], [ ""視野（しや）"", ""field of vision"" ], [ ""野原（のはら）"", ""field"" ], [ ""野良犬（のらいぬ）"", ""stray dog"" ] ]","ヤ, ショ","の, の-","ずけ, つけ, ぬ","plains, field, rustic, civilian life",3.0,11.0,120.0,2.0,"矛, 里, 亅"
村,son-mura,"[ [ ""農村（のうそん）"", ""farm village"" ], [ ""漁村（ぎょそん）"", ""fishing village"" ], [ ""村落（そんらく）"", ""village"" ], [ ""村（むら）"", ""village"" ], [ ""村人（むらびと）"", ""villager"" ] ]",ソン,むら,"え, むた, ら","village, town",3.0,7.0,253.0,1.0,"寸, 木"
背,somu(ku),"[ [ ""背後（はいご）"", ""back"" ], [ ""背景（はいけい）"", ""background"" ], [ ""背（せ/せい）"", ""height (of body)"" ], [ ""背広（せびろ）"", ""business suit"" ], [ ""背中（せなか）"", ""back (of body)"" ], [ ""背負う（せおう）"", ""carry on back or shoulder"" ], [ ""背比べ（せいくらべ）"", ""comparing heights"" ], [ ""背く（そむく）"", ""run counter to [v.i.]"" ], [ ""背ける（そむける）"", ""turn one's face away [v.t.]"" ] ]",ハイ,"せ, せい, そむ.く, そむ.ける",,"stature, height, back, behind, disobey, defy, go back on, rebel",2.0,9.0,696.0,6.0,"月, 匕, 爿"
高,taka(i),"[ [ ""高校生（こうこうせい）"", ""senior high school student"" ], [ ""高速道路（こうそくどうろ）"", ""highway"" ], [ ""高熱（こうねつ）"", ""high fever"" ], [ ""高価な（こうかな）"", ""expensive"" ], [ ""最高（さいこう）"", ""supreme"" ], [ ""高い（たかい）"", ""tall, high, expensive"" ], [ ""高まる（たかまる）"", ""rise [v.i.]"" ], [ ""高める（たかめる）"", ""raise, boost [v.t.]"" ], [ ""円高（えんだか）"", ""strong yen"" ], [ ""売上高（うりあげだか）"", ""sales"" ] ]",コウ,"たか.い, たか, -だか, たか.まる, たか.める","か, こ, じょい, た, はか","tall, high, expensive",4.0,10.0,65.0,2.0,"口, 高, 亠, 冂"
低,hiku(i),"[ [ ""低下する（ていかする）"", ""decline [v.i.]"" ], [ ""低温（ていおん）"", ""low temperature"" ], [ ""低気圧（ていきあつ）"", ""low (atmospheric) pressure"" ], [ ""最低（さいてい）"", ""lowest, worst"" ], [ ""低い（ひくい）"", ""low"" ], [ ""低まる（ひくまる）"", ""lower [v.i.]"" ], [ ""低める（ひくめる）"", ""lower [v.t.]"" ] ]",テイ,"ひく.い, ひく.める, ひく.まる",,"lower, short, humble",3.0,7.0,435.0,4.0,"化, 氏, 一"
長,chou-naga(i),"[ [ ""身長（しんちょう）"", ""height (of body)"" ], [ ""社長（しゃちょう）"", ""company president"" ], [ ""市長（しちょう）"", ""mayor"" ], [ ""会長（かいちょう）"", ""president (of a society)"" ], [ ""長期（ちょうき）"", ""long time period"" ], [ ""長時間（ちょうじかん）"", ""long-term, long-range"" ], [ ""長男（ちょうなん）"", ""eldest son"" ], [ ""長女（ちょうじょ）"", ""eldest daughter"" ], [ ""長所（ちょうしょ）"", ""strong point"" ], [ ""成長する（せいちょうする）"", ""grow"" ], [ ""長い（ながい）"", ""long"" ] ]",チョウ,"なが.い, おさ","お, おしゃ, たかし, たけ, な, は, ひさ","long, leader, superior, senior",4.0,8.0,12.0,2.0,長
左,hidari,"[ [ ""左右する（さゆうする）"", ""influence, control, command"" ], [ ""左派（さは）"", ""(political) left wing"" ], [ ""左（ひだり）"", ""left"" ], [ ""左側（ひだりがわ）"", ""left side"" ], [ ""左向き（ひだりむき）"", ""left facing"" ] ]","サ, シャ",ひだり,そ,left,4.0,5.0,630.0,1.0,"ノ, 一, 工"
短,mijika(i),"[ [ ""短歌（たんか）"", ""Japanese poetic form"" ], [ ""短気な（たんきな）"", ""quick tempered"" ], [ ""短期間（たんきかん）"", ""short term"" ], [ ""短所（たんしょ）"", ""weak point"" ], [ ""短い（みじかい）"", ""short"" ] ]",タン,みじか.い,,"short, brevity, fault, defect, weak point",3.0,12.0,689.0,3.0,"口, 豆, 并, 矢, 乞"
着,chaku-ki(ru),"[ [ ""到着する（とうちゃくする）"", ""arrive"" ], [ ""着席する（ちゃくせきする）"", ""be seated"" ], [ ""着実な（ちゃくじつな）"", ""steady"" ], [ ""着る（きる）"", ""wear [v.i.]"" ], [ ""着せる（きせる）"", ""dress someone [v.t.]"" ], [ ""着物（きもの）"", ""kimono"" ], [ ""着替える（きがえる）"", ""change one's clothes"" ], [ ""上着（うわぎ）"", ""jacket"" ], [ ""水着（みずぎ）"", ""bathing suit"" ], [ ""着く（つく）"", ""arrive"" ] ]","チャク, ジャク","き.る, き.せる, つ.く, つ.ける",,"don, arrive, wear, counter for suits of clothing",3.0,12.0,376.0,3.0,"ノ, 王, 并, 目, 羊"
楽,tano(shii),"[ [ ""楽器（がっき）"", ""musical instrument"" ], [ ""音楽（おんがく）"", ""music"" ], [ ""楽な（らくな）"", ""comfortable"" ], [ ""楽園（らくえん）"", ""paradise"" ], [ ""楽観する（らっかんする）"", ""be optimistic"" ], [ ""楽観的な（らっかんてきな）"", ""optimistic"" ], [ ""楽しい（たのしい）"", ""fun"" ], [ ""楽しみ（たのしみ）"", ""enjoyment"" ], [ ""楽しむ（たのしむ）"", ""enjoy oneself"" ] ]","ガク, ラク, ゴウ","たの.しい, たの.しむ, この.む","さ, た, やす, ら","music, comfort, ease",3.0,13.0,373.0,2.0,"白, 木, 冫"
川,sen-kawa,"[ [ ""河川（かせん）"", ""rivers"" ], [ ""川（かわ）"", ""river"" ], [ ""川上（かわかみ）"", ""upper reaches of a river"" ], [ ""川下（かわしも）"", ""downstream"" ], [ ""江戸川（えどがわ）"", ""Edo River"" ], [ ""小川（おがわ）"", ""small stream, brook"" ] ]",セン,かわ,"か, こ, さわ","stream, river, river or three-stroke river radical (no. 47)",4.0,3.0,181.0,1.0,川
質,shitsu(mon),"[ [ ""質問する（しつもんする）"", ""inquire"" ], [ ""本質（ほんしつ）"", ""essence"" ], [ ""体質（たいしつ）"", ""(physical) constitution"" ], [ ""性質（せいしつ）"", ""nature, personality"" ], [ ""素質（そしつ）"", ""qualities"" ], [ ""特質（とくしつ）"", ""characteristic"" ], [ ""質屋（しちや）"", ""pawnshop"" ], [ ""人質（ひとじち）"", ""hostage"" ], [ ""質素な（しっそな）"", ""simple"" ], [ ""言質を取る（げんちをとる）"", ""keep someone to a pledge"" ] ]","シツ, シチ, チ","たち, ただ.す, もと, わりふ",,"substance, quality, matter, temperament",3.0,15.0,389.0,5.0,"貝, 目, ハ, 斤"
問,to(u),"[ [ ""質問する（しつもんする）"", ""inquire"" ], [ ""訪問する（ほうもんする）"", ""visit"" ], [ ""問題（もんだい）"", ""problem, question"" ], [ ""問い合わせる（といあわせる）"", ""seek information, inquire"" ], [ ""問う（とう）"", ""ask a question"" ], [ ""問屋（とんや）"", ""wholesale store"" ] ]",モン,"と.う, と.い, とん",はる,"question, ask, problem",3.0,11.0,64.0,3.0,"口, 門"
以,i(nai),"[ [ ""以上（いじょう）"", ""more than"" ], [ ""以下（いか）"", ""less than"" ], [ ""以来（いらい）"", ""since"" ], [ ""以外（いがい）"", ""except"" ], [ ""以内（いない）"", ""within, less than"" ], [ ""以降（いこう）"", ""hereafter, thereafter"" ], [ ""以心伝心（いしんでんしん）"", ""tacit understanding"" ], [ ""以って（もって）"", ""with, by means of"" ] ]",イ,もっ.て,もち,"by means of, because, in view of, compared with",3.0,5.0,126.0,4.0,"｜, 人, 丶"
多,ta-oo(i),"[ [ ""多分（たぶん）"", ""perhaps"" ], [ ""多量（たりょう）"", ""large quantity"" ], [ ""多少（たしょう）"", ""more or less"" ], [ ""多目的（たもくてき）"", ""multipurpose"" ], [ ""多い（おおい）"", ""many"" ], [ ""多めに（おおめに）"", ""generously"" ] ]",タ,"おお.い, まさ.に, まさ.る",,"many, frequent, much",4.0,6.0,139.0,2.0,夕
若,waka(i),"[ [ ""若年（じゃくねん）"", ""youth"" ], [ ""若干（じゃっかん）"", ""some"" ], [ ""若輩（じゃくはい）"", ""young person, novice"" ], [ ""老若男女（ろうにゃくなんにょ）"", ""men and women of all ages"" ], [ ""若い（わかい）"", ""young"" ], [ ""若者（わかもの）"", ""youth"" ], [ ""若手（わかて）"", ""young person"" ], [ ""若しも（もしも）"", ""if"" ] ]","ジャク, ニャク, ニャ","わか.い, わか-, も.しくわ, も.し, も.しくは, ごと.し","わく, わこ","young, if, perhaps, possibly, low number, immature",2.0,8.0,458.0,6.0,"ノ, 一, 口, 艾"
太,futo(i),"[ [ ""太陽（たいよう）"", ""sun"" ], [ ""太鼓（たいこ）"", ""drum"" ], [ ""太平洋（たいへいよう）"", ""Pacific Ocean"" ], [ ""太古（たいこ）"", ""ancient times"" ], [ ""丸太（まるた）"", ""log"" ], [ ""太る（ふとる）"", ""become fat"" ], [ ""太い（ふとい）"", ""fat, thick"" ] ]","タイ, タ","ふと.い, ふと.る","おお, たか, ひろ","plump, thick, big around",3.0,4.0,552.0,2.0,"大, 丶"
色,shoku-iro,"[ [ ""地方色（ちほうしょく）"", ""local color"" ], [ ""景色（けしき）"", ""scenery, landscape"" ], [ ""何色（なにいろ）"", ""what color"" ], [ ""黄色（きいろ）"", ""yellow"" ], [ ""色々（いろいろ）"", ""various"" ], [ ""顔色（かおいろ）"", ""complexion"" ] ]","ショク, シキ",いろ,"しか, しこ",color,3.0,6.0,621.0,2.0,"色, 巴, 勹"
止,shi-to(maru),"[ [ ""停止する（ていしする）"", ""stop"" ], [ ""中止する（ちゅうしする）"", ""cancel"" ], [ ""廃止する（はいしする）"", ""abolish"" ], [ ""禁止する（きんしする）"", ""prohibit"" ], [ ""止まる（とまる）"", ""stop [v.i.]"" ], [ ""止める（とめる）"", ""stop [v.t.]"" ], [ ""止む（やむ）"", ""(e.g. rain) stop [v.i.]"" ], [ ""止める（やめる）"", ""stop [v.t.], give up, quit"" ] ]",シ,"と.まる, -ど.まり, と.める, -と.める, -ど.め, とど.める, とど.め, とど.まる, や.める, や.む, -や.む, よ.す, -さ.す, -さ.し",どめ,"stop, halt",3.0,4.0,310.0,2.0,止
遠,too(i),"[ [ ""遠慮する（えんりょする）"", ""refrain, exercise restraint"" ], [ ""遠足（えんそく）"", ""field trip"" ], [ ""永遠（えいえん）"", ""eternity"" ], [ ""久遠（くおん）"", ""eternity"" ], [ ""遠い（とおい）"", ""far"" ], [ ""遠く（とおく）"", ""far"" ], [ ""遠回りする（とおまわりする）"", ""detour"" ] ]","エン, オン",とお.い,"お, おに, ど, どお","distant, far",3.0,13.0,887.0,2.0,"衣, 口, 込, 土"
忙,isoga(shii),"[ [ ""多忙な（たぼうな）"", ""busy"" ], [ ""忙殺される（ぼうさつされる）"", ""be worked to death"" ], [ ""忙しい（いそがしい）"", ""busy"" ] ]","ボウ, モウ","いそが.しい, せわ.しい, おそ.れる, うれえるさま",,"busy, occupied, restless",2.0,6.0,1475.0,8.0,"亡, 忙, 亠"
借,ka(riru),"[ [ ""拝借する（はいしゃくする）"", ""borrow [hum.]"" ], [ ""借金（しゃっきん）"", ""debt"" ], [ ""借家（しゃくや）"", ""rented house"" ], [ ""借りる（かりる）"", ""borrow"" ] ]",シャク,か.りる,,"borrow, rent",3.0,10.0,932.0,4.0,"化, 日, 廾, 二"
茶,cha,"[ [ ""紅茶（こうちゃ）"", ""black tea"" ], [ ""緑茶（りょくちゃ）"", ""green tea"" ], [ ""茶色（ちゃいろ）"", ""brown"" ], [ ""お茶（おちゃ）"", ""tea"" ], [ ""茶の湯（ちゃのゆ）"", ""tea ceremony"" ], [ ""喫茶店（きっさてん）"", ""coffee shop"" ], [ ""茶道（さどう）"", ""Way of Tea"" ] ]","チャ, サ",,ちや,tea,3.0,9.0,1116.0,2.0,"个, 艾, 木"
入,hai(ru),"[ [ ""収入（しゅうにゅう）"", ""income"" ], [ ""入学する（にゅうがくする）"", ""entry school or university"" ], [ ""入国する（にゅうこくする）"", ""entry a country"" ], [ ""輸入する（ゆにゅうする）"", ""import"" ], [ ""気に入る（きにいる）"", ""be pleased with, come to like"" ], [ ""入り口（いりぐち）"", ""entrance"" ], [ ""仲間入り（なかまいり）"", ""join a group"" ], [ ""入れる（いれる）"", ""put in, let in [v.t.]"" ], [ ""入れ物（いれもの）"", ""container"" ], [ ""入る（はいる）"", ""enter, get in [v.i.]"" ] ]","ニュウ, ジュ","い.る, -い.る, -い.り, い.れる, -い.れ, はい.る","いり, いる, に, の, りり","enter, insert",4.0,2.0,56.0,1.0,入
新,atara(shii),"[ [ ""新聞（しんぶん）"", ""newspaper"" ], [ ""新年（しんねん）"", ""New Year"" ], [ ""新製品（しんせいひん）"", ""new product"" ], [ ""新幹線（しんかんせん）"", ""Shinkansen"" ], [ ""最新式（さいしんしき）"", ""latest style"" ], [ ""新鮮な（しんせんな）"", ""fresh"" ], [ ""革新的な（かくしんてきな）"", ""liberal"" ], [ ""更新する（こうしんする）"", ""update, renew"" ], [ ""新しい（あたらしい）"", ""new"" ], [ ""新たな（あらたな）"", ""new"" ], [ ""新妻（にいづま）"", ""newly-wed wife"" ] ]",シン,"あたら.しい, あら.た, あら-, にい-","あせ, あたらし, し, に, にっ, につ, よし",new,4.0,13.0,51.0,2.0,"斤, 辛, 并, 木, 立, 亠"
教,oshi(eru),"[ [ ""教育する（きょういくする）"", ""educate"" ], [ ""教授（きょうじゅ）"", ""teaching, professor"" ], [ ""教師（きょうし）"", ""teacher"" ], [ ""教室（きょうしつ）"", ""classroom"" ], [ ""教科書（きょうかしょ）"", ""text book"" ], [ ""教養（きょうよう）"", ""cultivation, culture"" ], [ ""教会（きょうかい）"", ""church"" ], [ ""宗教（しゅうきょう）"", ""religion"" ], [ ""仏教（ぶっきょう）"", ""Buddhism"" ], [ ""教える（おしえる）"", ""teach, inform [v.t.]"" ], [ ""教わる（おそわる）"", ""be taught [v.i.]"" ] ]",キョウ,"おし.える, おそ.わる","のり, ひさ","teach, faith, doctrine",3.0,11.0,166.0,2.0,"子, 老, 攵, 乞"
味,aji(wau),"[ [ ""意味（いみ）"", ""meaning"" ], [ ""興味（きょうみ）"", ""interest (in something)"" ], [ ""趣味（しゅみ）"", ""hobby"" ], [ ""味噌（みそ）"", ""bean paste"" ], [ ""味覚（みかく）"", ""sense of taste"" ], [ ""味（あじ）"", ""flavor"" ], [ ""後味（あとあじ）"", ""aftertaste"" ], [ ""味わう（あじわう）"", ""taste, appreciate"" ] ]",ミ,"あじ, あじ.わう",,"flavor, taste",3.0,8.0,442.0,3.0,"｜, 口, 二, ハ, 木, 亠"
白,shiro(i),"[ [ ""白紙（はくし）"", ""white paper"" ], [ ""白人（はくじん）"", ""Caucasian"" ], [ ""白鳥（はくちょう）"", ""swan"" ], [ ""空白（くうはく）"", ""blank space"" ], [ ""明白な（めいはくな）"", ""obvious"" ], [ ""白夜（びゃくや）"", ""white (arctic) night"" ], [ ""白い（しろい）"", ""white"" ], [ ""白髪（しらが）"", ""white or grey hair"" ] ]","ハク, ビャク","しろ, しら-, しろ.い","あき, か, はっ",white,4.0,5.0,483.0,1.0,白
女,onna,"[ [ ""女性（じょせい）"", ""female"" ], [ ""女子学生（じょしがくせい）"", ""female student"" ], [ ""彼女（かのじょ）"", ""she, girl friend"" ], [ ""長女（ちょうじょ）"", ""eldest daughter"" ], [ ""女人（にょにん）"", ""women [archaic]"" ], [ ""女房（にょうぼう）"", ""wife"" ], [ ""女（おんな）"", ""woman"" ], [ ""女の子（おんなのこ）"", ""girl"" ], [ ""女々しい（めめしい）"", ""effeminate"" ] ]","ジョ, ニョ, ニョウ","おんな, め","おな, た, つき, な","woman, female",4.0,3.0,151.0,1.0,女
青,ao,"[ [ ""青春（せいしゅん）"", ""springtime of life"" ], [ ""青年（せいねん）"", ""youth"" ], [ ""緑青（ろくしょう）"", ""copper rust"" ], [ ""青い（あおい）"", ""blue, pale"" ], [ ""青空（あおぞら）"", ""blue sky"" ], [ ""青白い（あおじろい）"", ""pale"" ], [ ""青信号（あおしんごう）"", ""green light"" ] ]","セイ, ショウ","あお, あお-, あお.い",お,"blue, green",3.0,8.0,589.0,1.0,"月, 青, 土, 二, 亠"
黒,kuro,"[ [ ""黒板（こくばん）"", ""blackboard"" ], [ ""暗黒（あんこく）"", ""darkness"" ], [ ""黒い（くろい）"", ""black"" ], [ ""黒髪（くろかみ）"", ""black hair"" ], [ ""白黒（しろくろ）"", ""black and white"" ], [ ""真っ黒な（まっくろな）"", ""pitch black"" ] ]",コク,"くろ, くろ.ずむ, くろ.い",,black,3.0,11.0,573.0,2.0,"黒, 里, 杰"
